sub	name	x	y	z	size	chan_num	FS_label	FS_vol	FS_ind	WMvsGM	LvsR	sEEG_ECoG	Desikan_Killiany	DK_ind	DK_lobe	Destrieux	Destr_ind	Destr_long	Yeo7	Yeo7_ind	Yeo17	Yeo17_ind	PTD_ind	surr_GM_vox	surr_WM_vox	LEPTO_coord_1	LEPTO_coord_2	LEPTO_coord_3	MNI_coord_1	MNI_coord_2	MNI_coord_3	MGRID_coord_1	MGRID_coord_2	MGRID_coord_3	subINF_coord_1	subINF_coord_2	subINF_coord_3	fsaverageINF_coord_1	fsaverageINF_coord_2	fsaverageINF_coord_3	ScannerNativeRAS_coord_1	ScannerNativeRAS_coord_2	ScannerNativeRAS_coord_3	sub_name
sub-03	LANT1	-3.201117453	-6.30559131	6.543782248	3.5 mm	1	LANT1	Left-Thalamus-Proper	10	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-3.5	-2.667	30.6667	-3.201117453	-6.30559131	6.543782248	132.5	98.3333	131.667	48.45433426	24.69304276	-15.10247612	40.68188477	17.91059685	-17.12761879	-2.017326087	34.00348701	23.91920653	sub-03 LANT1
sub-03	LANT2	-8.444634324	-6.329136914	5.494258122	3.5 mm	2	LANT2	Left-Thalamus-Proper	10	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-8.5	-2.5	30.0	-8.444634324	-6.329136914	5.494258122	137.5	99.0	131.5	48.21608734	24.42217445	-16.27268028	40.58623505	18.78904343	-18.13635635	-7.017325789	34.17048699	23.25250661	sub-03 LANT2
sub-03	LANT3	-13.65645732	-6.563392914	4.103487122	3.5 mm	3	LANT3	Left-Thalamus-Proper	10	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-13.5	-2.5	29.0	-13.65645732	-6.563392914	4.103487122	142.5	100.0	131.5	47.542099	24.95103645	-19.36729813	40.30666733	19.54930305	-19.81770134	-12.01732549	34.17048699	22.25250673	sub-03 LANT3
sub-03	LANT4	-18.78151642	-6.669513814	2.923141622	3.5 mm	4	LANT4	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-18.4	-2.4	28.2	-18.78151642	-6.669513814	2.923141622	147.4	100.8	131.4	17.1424942	24.39642715	-49.83902359	12.6449604	24.68865013	-51.11894608	-16.9173252	34.27048697	21.45250683	sub-03 LANT4
sub-03	LANT5	-23.33432107	-6.702052664	1.876113372	3.5 mm	5	LANT5	Left-Pallidum	13	WM	L	sEEG	Left-Pallidum	Left-Pallidum	Left-Pallidum	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-22.75	-2.25	27.5	-23.33432107	-6.702052664	1.876113372	151.75	101.5	131.25	12.93406868	25.61769867	-51.01661682	10.32261181	24.82584572	-52.4740448	-21.26732494	34.42048696	20.75250691	sub-03 LANT5
sub-03	LANT6	-28.79472462	-7.045977751	0.300192578	3.5 mm	6	LANT6	Left-Putamen	12	WM	L	sEEG	Left-Putamen	Left-Putamen	Left-Putamen	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-28.0	-2.333	26.333	-28.79472462	-7.045977751	0.300192578	157.0	102.667	131.333	-16.67596817	28.31956482	-21.28853226	-14.12347221	28.39321136	-24.53272247	-26.51732463	34.33748697	19.58550705	sub-03 LANT6
sub-03	LANT7	-33.67394137	-7.39177872	-0.672587539	3.5 mm	7	LANT7	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-32.667	-2.5	25.667	-33.67394137	-7.39177872	-0.672587539	161.667	103.333	131.5	-16.77892685	28.09589577	-21.49187469	-14.07612324	29.46147537	-26.06723595	-31.18432435	34.17048699	18.91950713	sub-03 LANT7
sub-03	LANT8	-38.96979007	-7.404820664	-2.296199628	3.5 mm	8	LANT8	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	G_Ins_lg_and_S_cent_ins	17	Long insular gyrus and central sulcus of the insula	Ventral Attention	5	17Networks_7	8	0.7037037	23.0	4.0	-37.75	-2.25	24.5	-38.96979007	-7.404820664	-2.296199628	166.75	104.5	131.25	-16.60953522	29.28216934	-23.08288765	-14.27920914	29.80529404	-27.62365341	-36.26732405	34.42048696	17.75250727	sub-03 LANT8
sub-03	LANT9	-43.97879221	-7.641171517	-3.390706202	3.5 mm	9	LANT9	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-42.5415	-2.2915	23.75	-43.97879221	-7.641171517	-3.390706202	171.5415	105.25	131.2915	-30.63140106	25.5625782	-30.65863991	-26.09334183	16.03141689	-33.0124588	-41.05882376	34.37898696	17.00250736	sub-03 LANT9
sub-03	LANT10	-48.98779434	-7.877522371	-4.485212777	3.5 mm	10	LANT10	Left-Cerebral-White-Matter	2	GM	L	sEEG	superiortemporal	31	Temporal	G_temp_sup-Lateral	34	Lateral aspect of the superior temporal gyrus	Default	8	17Networks_14	15	0.03703704	14.0	13.0	-47.333	-2.333	23.0	-48.98779434	-7.877522371	-4.485212777	176.333	106.0	131.333	-30.10861206	25.60271645	-30.47603798	-25.73162842	16.92376518	-33.69315338	-45.85032347	34.33748697	16.25250745	sub-03 LANT10
